OxySoft export of:	C:\Users\TO3 TechSupport\Documents\Train2Adapt\Post_tests\T2A_08_POST_NIRS
Export date:	2022/12/21 10:53:05
Start of measurement:	2022-12-21 10:04:03.164

Datafile sample rate:	10.00	Hz
Datafile duration:	2928.000	s
Datafile total number of samples:	29280

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	6.39

Device id:	291
# Receivers:	1
# Light sources:	6
# ADC:	2

Light source wavelengths:
device	index	wavelength
1	1	847	nm
1	2	761	nm
1	3	848	nm
1	4	761	nm
1	5	848	nm
1	6	762	nm

Export sample rate:	10.00	Hz
Selected time span:	0	2928
Selected time span (sample numbers):	0	29280


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (T2A_08_POST_NIRS)
3	Rx1-Tx1 HHb (T2A_08_POST_NIRS)
4	Rx1-Tx1 tHb (T2A_08_POST_NIRS)
5	Rx1-Tx1 HbDiff (T2A_08_POST_NIRS)
6	Rx1-Tx2 O2Hb (T2A_08_POST_NIRS)
7	Rx1-Tx2 HHb (T2A_08_POST_NIRS)
8	Rx1-Tx2 tHb (T2A_08_POST_NIRS)
9	Rx1-Tx2 HbDiff (T2A_08_POST_NIRS)
10	Rx1-Tx3 O2Hb (T2A_08_POST_NIRS)
11	Rx1-Tx3 HHb (T2A_08_POST_NIRS)
12	Rx1-Tx3 tHb (T2A_08_POST_NIRS)
13	Rx1-Tx3 HbDiff (T2A_08_POST_NIRS)
14	Rx1-Tx1,Tx2,Tx3 TSI% (T2A_08_POST_NIRS)
15	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (T2A_08_POST_NIRS)
16	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
     0	120.5144	56.1278	176.6422	64.3867	94.8963	42.2957	137.1920	52.6005	78.7511	37.2246	115.9757	41.5265	43.7250	98.5201	
     1	 0.5315	 0.1557	 0.6872	 0.3758	 0.6562	 0.2069	 0.8631	 0.4493	 0.6515	 0.3045	 0.9560	 0.3470	60.8455	99.8944	
     2	 0.2020	-0.0120	 0.1900	 0.2140	 0.2815	 0.0435	 0.3250	 0.2379	 0.3583	 0.1607	 0.5190	 0.1975	60.7974	99.9034	
     3	 0.2119	 0.0235	 0.2353	 0.1884	 0.3954	 0.1758	 0.5712	 0.2196	 0.6533	 0.3392	 0.9925	 0.3140	60.9421	99.9091	
     4	 0.8395	 0.3548	 1.1943	 0.4847	 1.2259	 0.5261	 1.7520	 0.6998	 1.2831	 0.5633	 1.8465	 0.7198	61.3688	99.8713	
     5	 1.2633	 0.4017	 1.6650	 0.8616	 1.3522	 0.4124	 1.7646	 0.9397	 1.0857	 0.3541	 1.4397	 0.7316	61.0319	99.8623	
     6	 0.4956	-0.0578	 0.4377	 0.5534	 0.5240	-0.0125	 0.5115	 0.5364	 0.3433	-0.0167	 0.3266	 0.3600	60.7353	99.8747	
     7	-0.0872	-0.2885	-0.3756	 0.2014	-0.0167	-0.1748	-0.1916	 0.1581	 0.0169	-0.1245	-0.1076	 0.1413	60.7642	99.8891	
     8	-0.0027	-0.1789	-0.1816	 0.1762	 0.1178	-0.0301	 0.0877	 0.1479	 0.2108	 0.0153	 0.2261	 0.1954	60.8702	99.8882	
     9	 0.1714	-0.1337	 0.0378	 0.3052	 0.2853	-0.0048	 0.2805	 0.2901	 0.3119	 0.0541	 0.3660	 0.2578	60.7911	99.8868	
    10	 0.1409	-0.1224	 0.0185	 0.2634	 0.2188	-0.0070	 0.2117	 0.2258	 0.2523	 0.0292	 0.2816	 0.2230	60.8173	99.8875	
    11	 0.0314	-0.1289	-0.0975	 0.1603	 0.1178	-0.0301	 0.0877	 0.1479	 0.1463	 0.0100	 0.1563	 0.1363	60.8110	99.8882	
    12	 0.0197	-0.0620	-0.0423	 0.0818	 0.1407	 0.0218	 0.1625	 0.1190	 0.1746	 0.1057	 0.2803	 0.0689	60.7492	99.8928	
    13	 0.0853	-0.0080	 0.0773	 0.0933	 0.1759	 0.0557	 0.2316	 0.1202	 0.1909	 0.0818	 0.2727	 0.1090	60.8841	99.8882	
    14	 0.0287	-0.0419	-0.0132	 0.0706	 0.1063	 0.0010	 0.1073	 0.1054	 0.1012	 0.0388	 0.1399	 0.0624	60.8358	99.8900	
    15	-0.0261	-0.0451	-0.0712	 0.0191	 0.0268	 0.0035	 0.0303	 0.0233	 0.0367	 0.0334	 0.0701	 0.0033	60.7936	99.8910	
    16	-0.0261	-0.0451	-0.0712	 0.0191	 0.0130	-0.0048	 0.0082	 0.0178	 0.0024	 0.0463	 0.0487	-0.0439	60.6765	99.8930	
    17	-0.0252	-0.0298	-0.0550	 0.0047	 0.0398	-0.0013	 0.0385	 0.0411	 0.0367	 0.0334	 0.0701	 0.0033	60.8295	99.8914	
    18	 0.0458	-0.0169	 0.0289	 0.0627	 0.0796	-0.0026	 0.0770	 0.0821	 0.0705	 0.0090	 0.0794	 0.0615	60.8966	99.8911	
    19	 0.0458	-0.0169	 0.0289	 0.0627	 0.0398	-0.0013	 0.0385	 0.0411	 0.0295	 0.0066	 0.0361	 0.0229	60.8137	99.8924	
    20	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	-0.0000	-0.0000	60.8872	99.8931	
    21	-0.0000	 0.0000	 0.0000	 0.0000	-0.0336	-0.0077	-0.0413	-0.0260	-0.0464	 0.0056	-0.0408	-0.0520	60.7665	99.8957	
    22	 0.0332	 0.0347	 0.0679	-0.0014	 0.0023	 0.0394	 0.0417	-0.0371	-0.0109	 0.1281	 0.1172	-0.1390	60.4807	99.9027	
    23	 0.2038	 0.2845	 0.4884	-0.0807	 0.2890	 0.2888	 0.5778	 0.0002	 0.3058	 0.3870	 0.6928	-0.0813	60.6763	99.9008	
    24	 0.3825	 0.4063	 0.7888	-0.0237	 0.4504	 0.4371	 0.8874	 0.0133	 0.4653	 0.5397	 1.0050	-0.0744	60.5407	99.9004	
    25	 0.7049	 0.7174	 1.4223	-0.0125	 0.9282	 0.8908	 1.8190	 0.0374	 1.0180	 1.0762	 2.0941	-0.0582	60.2749	99.8979	
    26	 1.4322	 1.2857	 2.7179	 0.1465	 1.7449	 1.4607	 3.2056	 0.2842	 1.6995	 1.6233	 3.3228	 0.0762	60.2101	99.8826	
    27	 1.9943	 1.5631	 3.5573	 0.4312	 2.3001	 1.7585	 4.0586	 0.5416	 2.2860	 1.9109	 4.1968	 0.3750	60.3257	99.8837	
    28	 2.5968	 1.9976	 4.5944	 0.5992	 2.9157	 2.1815	 5.0971	 0.7341	 2.9163	 2.3709	 5.2873	 0.5454	60.3068	99.8899	
    29	 3.1364	 2.1581	 5.2945	 0.9783	 3.2598	 2.2756	 5.5354	 0.9842	 3.2969	 2.5115	 5.8083	 0.7854	60.1985	99.9108	
