OxySoft export of:	C:\Users\TO3 TechSupport\Documents\Train2Adapt\Post_tests\T2A_23_POST_NIRS
Export date:	2022/12/22 08:08:08
Start of measurement:	2022-12-22 07:08:57.293

Datafile sample rate:	10.00	Hz
Datafile duration:	3521.100	s
Datafile total number of samples:	35211

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	6.17

Device id:	334
# Receivers:	1
# Light sources:	6
# ADC:	2

Light source wavelengths:
device	index	wavelength
1	1	849	nm
1	2	759	nm
1	3	846	nm
1	4	757	nm
1	5	848	nm
1	6	757	nm

Export sample rate:	10.00	Hz
Selected time span:	0	3521.100
Selected time span (sample numbers):	0	35211


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (T2A_23_POST_NIRS)
3	Rx1-Tx1 HHb (T2A_23_POST_NIRS)
4	Rx1-Tx1 tHb (T2A_23_POST_NIRS)
5	Rx1-Tx2 O2Hb (T2A_23_POST_NIRS)
6	Rx1-Tx2 HHb (T2A_23_POST_NIRS)
7	Rx1-Tx2 tHb (T2A_23_POST_NIRS)
8	Rx1-Tx3 O2Hb (T2A_23_POST_NIRS)
9	Rx1-Tx3 HHb (T2A_23_POST_NIRS)
10	Rx1-Tx3 tHb (T2A_23_POST_NIRS)
11	Rx1-Tx1,Tx2,Tx3 TSI% (T2A_23_POST_NIRS)
12	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (T2A_23_POST_NIRS)
13	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13
     0	114.8049	56.1305	170.9353	87.6531	43.5710	131.2240	65.7723	37.0203	102.7924	11.5652	98.7634	
     1	-0.0258	-0.0309	-0.0567	-0.0017	-0.0271	-0.0289	-0.0908	 0.0684	-0.0226	64.0323	99.9566	
     2	-0.0577	-0.0355	-0.0932	-0.0554	-0.0081	-0.0636	-0.1373	 0.0848	-0.0526	63.9426	99.9566	
     3	-0.0742	-0.0456	-0.1199	-0.0302	-0.0447	-0.0750	-0.1046	 0.0369	-0.0678	64.1220	99.9572	
     4	-0.0897	-0.0401	-0.1298	-0.0571	-0.0352	-0.0924	-0.1954	 0.1053	-0.0902	63.8226	99.9568	
     5	-0.0258	-0.0309	-0.0567	 0.0000	-0.0000	-0.0001	 0.0137	 0.0314	 0.0451	64.3031	99.9565	
     6	 0.0856	-0.0226	 0.0630	 0.1171	 0.0070	 0.1241	 0.0391	 0.0588	 0.0978	64.1528	99.9592	
     7	 0.0392	-0.0060	 0.0332	 0.0483	 0.0037	 0.0519	 0.0137	 0.0314	 0.0451	64.2712	99.9572	
     8	 0.0289	-0.0425	-0.0136	 0.0403	-0.0143	 0.0260	-0.0328	 0.0479	 0.0150	64.0922	99.9579	
     9	-0.0010	-0.0157	-0.0167	 0.0403	-0.0143	 0.0260	-0.0328	 0.0479	 0.0150	64.1819	99.9579	
    10	-0.0010	-0.0157	-0.0167	 0.0403	-0.0143	 0.0260	-0.0328	 0.0479	 0.0150	64.1819	99.9579	
    11	-0.0175	-0.0258	-0.0433	 0.0000	-0.0000	-0.0001	-0.0581	 0.0205	-0.0377	64.2107	99.9592	
    12	-0.0412	-0.0253	-0.0666	-0.0285	-0.0176	-0.0462	-0.0774	-0.0030	-0.0804	64.2697	99.9584	
    13	-0.0732	-0.0299	-0.1031	-0.0822	 0.0014	-0.0810	-0.0774	-0.0030	-0.0804	64.3004	99.9573	
    14	-0.0897	-0.0401	-0.1298	-0.0571	-0.0352	-0.0924	-0.1027	-0.0303	-0.1332	64.3294	99.9592	
    15	-0.0330	-0.0203	-0.0533	 0.0000	-0.0000	-0.0001	 0.0464	-0.0164	 0.0299	64.5112	99.9572	
    16	 0.0866	-0.0069	 0.0797	 0.1423	-0.0295	 0.1127	 0.1183	-0.0055	 0.1127	64.4810	99.9573	
    17	 0.0546	-0.0115	 0.0431	 0.0672	-0.0237	 0.0433	 0.0464	-0.0164	 0.0299	64.4199	99.9569	
    18	 0.0144	-0.0212	-0.0068	 0.0403	-0.0143	 0.0260	-0.0001	-0.0000	-0.0002	64.3305	99.9584	
    19	 0.0144	-0.0212	-0.0068	 0.0000	-0.0000	-0.0001	-0.0001	-0.0000	-0.0002	64.3305	99.9568	
    20	-0.0000	 0.0000	 0.0000	 0.0000	-0.0000	-0.0001	-0.0001	-0.0000	-0.0002	64.3901	99.9565	
    21	-0.0010	-0.0157	-0.0167	 0.0252	-0.0366	-0.0115	-0.0309	-0.0194	-0.0504	64.3592	99.9579	
