OxySoft export of:	C:\Users\TO3 TechSupport\Documents\Train2Adapt\Post_tests\T2A_41_POST_NIRS_2
Export date:	2022/12/21 00:01:00
Start of measurement:	2022-12-20 23:05:53.001

Datafile sample rate:	10.00	Hz
Datafile duration:	3289.700	s
Datafile total number of samples:	32897

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	6.58

Device id:	334
# Receivers:	1
# Light sources:	6
# ADC:	2

Light source wavelengths:
device	index	wavelength
1	1	849	nm
1	2	759	nm
1	3	846	nm
1	4	757	nm
1	5	848	nm
1	6	757	nm

Export sample rate:	10.00	Hz
Selected time span:	0	3289.700
Selected time span (sample numbers):	0	32897


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (T2A_41_POST_NIRS_2)
3	Rx1-Tx1 HHb (T2A_41_POST_NIRS_2)
4	Rx1-Tx1 tHb (T2A_41_POST_NIRS_2)
5	Rx1-Tx2 O2Hb (T2A_41_POST_NIRS_2)
6	Rx1-Tx2 HHb (T2A_41_POST_NIRS_2)
7	Rx1-Tx2 tHb (T2A_41_POST_NIRS_2)
8	Rx1-Tx3 O2Hb (T2A_41_POST_NIRS_2)
9	Rx1-Tx3 HHb (T2A_41_POST_NIRS_2)
10	Rx1-Tx3 tHb (T2A_41_POST_NIRS_2)
11	Rx1-Tx1,Tx2,Tx3 TSI% (T2A_41_POST_NIRS_2)
12	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (T2A_41_POST_NIRS_2)
13	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13
     0	101.4763	50.4569	151.9332	76.7886	39.0413	115.8293	56.8865	33.8223	90.7091	11.5652	98.7634	
     1	 0.2303	-0.1127	 0.1176	 0.2283	-0.0547	 0.1731	 0.1770	-0.0171	 0.1603	66.6975	99.9777	
     2	 0.1046	-0.1053	-0.0007	 0.0968	-0.0990	-0.0027	 0.0653	-0.0231	 0.0427	66.6984	99.9752	
     3	 0.1722	-0.0919	 0.0803	 0.1905	-0.0413	 0.1487	 0.1770	-0.0171	 0.1603	66.8167	99.9772	
     4	 0.3143	-0.0751	 0.2393	 0.3833	-0.0446	 0.3383	 0.3186	-0.0671	 0.2518	67.0580	99.9802	
     5	 0.3434	-0.0855	 0.2579	 0.3833	-0.0446	 0.3383	 0.2828	-0.0148	 0.2684	66.7876	99.9797	
     6	 0.2167	-0.0928	 0.1239	 0.2660	-0.0680	 0.1975	 0.1770	-0.0171	 0.1603	66.7578	99.9790	
     7	 0.1722	-0.0919	 0.0803	 0.1637	-0.0578	 0.1054	 0.1416	-0.0500	 0.0920	66.8492	99.9769	
     8	 0.1345	-0.1010	 0.0336	 0.1260	-0.0445	 0.0810	 0.1011	-0.0755	 0.0261	66.8804	99.9781	
     9	 0.2322	-0.0833	 0.1489	 0.2366	-0.0252	 0.2109	 0.2065	 0.0122	 0.2191	66.7264	99.9772	
    10	 0.2418	-0.0491	 0.1927	 0.2071	 0.0177	 0.2243	 0.2828	-0.0148	 0.2684	66.9959	99.9750	
    11	 0.1877	-0.0824	 0.1053	 0.1637	-0.0578	 0.1054	 0.1416	-0.0500	 0.0920	66.8499	99.9764	
    12	 0.1490	-0.1062	 0.0429	 0.1554	-0.0873	 0.0676	 0.1011	-0.0755	 0.0261	66.8506	99.9778	
    13	 0.1587	-0.0720	 0.0867	 0.1637	-0.0578	 0.1054	 0.0653	-0.0231	 0.0427	66.7005	99.9784	
    14	 0.0910	-0.0854	 0.0056	 0.0378	-0.0133	 0.0240	 0.0245	 0.0368	 0.0616	66.5175	99.9755	
    15	 0.0571	-0.0355	 0.0216	 0.0378	-0.0133	 0.0240	 0.0649	 0.0622	 0.1275	66.6662	99.9735	
    16	 0.1547	-0.0178	 0.1369	 0.1693	 0.0310	 0.1998	 0.2065	 0.0122	 0.2191	66.9662	99.9766	
    17	 0.2031	-0.0729	 0.1303	 0.1905	-0.0413	 0.1487	 0.1007	 0.0098	 0.1109	66.6091	99.9778	
    18	 0.1983	-0.0335	 0.1648	 0.2071	 0.0177	 0.2243	 0.1657	 0.0720	 0.2381	66.6361	99.9772	
    19	 0.0977	 0.0177	 0.1154	 0.0811	 0.0622	 0.1428	 0.1003	 0.0951	 0.1958	66.6963	99.9753	
    20	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	-0.0004	-0.0000	 0.0000	 0.0004	66.8804	99.9762	
    21	 0.1306	-0.0468	 0.0838	 0.1260	-0.0445	 0.0810	 0.0358	-0.0524	-0.0162	66.8230	99.9787	
    22	 0.1587	-0.0720	 0.0867	 0.1024	-0.0102	 0.0917	 0.0653	-0.0231	 0.0427	66.7005	99.9772	
    23	 0.2156	 0.0055	 0.2211	 0.1984	 0.0856	 0.2836	 0.2061	 0.0975	 0.3040	66.6954	99.9766	
    24	 0.0155	 0.0095	 0.0250	-0.0613	 0.0477	-0.0142	 0.0245	 0.0368	 0.0616	66.8187	99.9728	
    25	 0.0136	-0.0199	-0.0063	-0.0377	 0.0134	-0.0249	-0.0763	 0.0269	-0.0489	66.6108	99.9764	
    26	 0.0426	-0.0303	 0.0123	 0.0142	 0.0210	 0.0347	-0.0000	 0.0000	 0.0004	66.7603	99.9772	
    27	 0.1712	 0.0064	 0.1776	 0.1398	 0.0739	 0.2132	 0.1003	 0.0951	 0.1958	66.5776	99.9772	
    28	 0.1170	-0.0269	 0.0901	 0.0646	 0.0032	 0.0672	-0.0409	 0.0599	 0.0194	66.4299	99.9772	
    29	 0.1170	-0.0269	 0.0901	 0.0351	 0.0460	 0.0806	-0.0763	 0.0269	-0.0489	66.4618	99.9789	
