OxySoft export of:	C:\Users\TO3 TechSupport\Documents\Train2Adapt\Post_tests\T2A_59_POST_NIRS
Export date:	2022/12/22 14:05:18
Start of measurement:	2022-12-22 12:55:46.192

Datafile sample rate:	10.00	Hz
Datafile duration:	3433.700	s
Datafile total number of samples:	34337

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	6.39

Device id:	291
# Receivers:	1
# Light sources:	6
# ADC:	2

Light source wavelengths:
device	index	wavelength
1	1	847	nm
1	2	761	nm
1	3	848	nm
1	4	761	nm
1	5	848	nm
1	6	762	nm

Export sample rate:	10.00	Hz
Selected time span:	0	3433.700
Selected time span (sample numbers):	0	34337


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (T2A_59_POST_NIRS)
3	Rx1-Tx1 HHb (T2A_59_POST_NIRS)
4	Rx1-Tx1 tHb (T2A_59_POST_NIRS)
5	Rx1-Tx1 HbDiff (T2A_59_POST_NIRS)
6	Rx1-Tx2 O2Hb (T2A_59_POST_NIRS)
7	Rx1-Tx2 HHb (T2A_59_POST_NIRS)
8	Rx1-Tx2 tHb (T2A_59_POST_NIRS)
9	Rx1-Tx2 HbDiff (T2A_59_POST_NIRS)
10	Rx1-Tx3 O2Hb (T2A_59_POST_NIRS)
11	Rx1-Tx3 HHb (T2A_59_POST_NIRS)
12	Rx1-Tx3 tHb (T2A_59_POST_NIRS)
13	Rx1-Tx3 HbDiff (T2A_59_POST_NIRS)
14	Rx1-Tx1,Tx2,Tx3 TSI% (T2A_59_POST_NIRS)
15	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (T2A_59_POST_NIRS)
16	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
     0	125.7987	65.2436	191.0424	60.5552	101.7552	51.4480	153.2032	50.3072	84.1621	45.6614	129.8236	38.5007	43.7250	98.5201	
     1	 0.2442	 0.1757	 0.4200	 0.0685	-0.5126	 0.3234	-0.1892	-0.8360	-0.2602	-0.0677	-0.3278	-0.1925	62.3884	99.9623	
     2	 0.2424	 0.1451	 0.3876	 0.0973	-0.5378	 0.2321	-0.3057	-0.7699	-0.3872	-0.1558	-0.5429	-0.2314	62.3199	99.9643	
     3	-0.0225	 0.0161	-0.0063	-0.0385	-0.8055	 0.0829	-0.7226	-0.8883	-0.6654	-0.2344	-0.8997	-0.4310	62.0532	99.9628	
     4	-0.2586	-0.0219	-0.2804	-0.2367	-0.8291	 0.0179	-0.8113	-0.8470	-0.8395	-0.1041	-0.9435	-0.7354	61.4766	99.9701	
     5	-0.5576	-0.0679	-0.6254	-0.4897	-0.7893	-0.0974	-0.8867	-0.6920	-0.8780	-0.1723	-1.0502	-0.7057	62.0556	99.9795	
     6	-0.5540	-0.1396	-0.6935	-0.4144	-0.6998	-0.1572	-0.8571	-0.5426	-0.8334	-0.2127	-1.0460	-0.6208	62.1061	99.9826	
     7	-0.6456	-0.1058	-0.7513	-0.5398	-0.7373	-0.1166	-0.8539	-0.6207	-0.9099	-0.1131	-1.0229	-0.7969	61.8184	99.9839	
     8	-0.6034	-0.0510	-0.6543	-0.5524	-0.5675	-0.0519	-0.6194	-0.5156	-0.7414	-0.0110	-0.7523	-0.7303	61.9326	99.9861	
     9	-0.4157	-0.0421	-0.4577	-0.3736	-0.2562	-0.0663	-0.3225	-0.1899	-0.6149	-0.0467	-0.6615	-0.5682	62.0510	99.9917	
    10	-0.4490	-0.0767	-0.5256	-0.3722	-0.3824	-0.0666	-0.4490	-0.3158	-0.6781	-0.0289	-0.7069	-0.6492	61.7985	99.9894	
    11	-0.4319	-0.0517	-0.4835	-0.3801	-0.4000	-0.0266	-0.4266	-0.3734	-0.6420	-0.0070	-0.6489	-0.6350	61.8447	99.9880	
    12	-0.3672	-0.0130	-0.3802	-0.3542	-0.3190	-0.0029	-0.3219	-0.3161	-0.5595	 0.0092	-0.5501	-0.5687	61.9743	99.9883	
    13	-0.3044	-0.0050	-0.3093	-0.2994	-0.2647	 0.0173	-0.2474	-0.2819	-0.4993	 0.0457	-0.4535	-0.5450	61.8965	99.9880	
    14	-0.2011	 0.0273	-0.1737	-0.2284	-0.1951	 0.0720	-0.1230	-0.2671	-0.3752	 0.0759	-0.2993	-0.4511	61.9883	99.9867	
    15	-0.0907	 0.0491	-0.0415	-0.1398	-0.1194	 0.1178	-0.0016	-0.2372	-0.2741	 0.1146	-0.1593	-0.3887	61.9523	99.9858	
    16	-0.0350	 0.0676	 0.0327	-0.1027	-0.0720	 0.1338	 0.0619	-0.2058	-0.2042	 0.1120	-0.0921	-0.3163	62.0798	99.9853	
    17	-0.0359	 0.0523	 0.0165	-0.0883	-0.1263	 0.1137	-0.0126	-0.2399	-0.2114	 0.0852	-0.1261	-0.2967	62.1186	99.9832	
    18	 0.0027	 0.0459	 0.0487	-0.0432	 0.0023	 0.0394	 0.0417	-0.0371	-0.0627	 0.0294	-0.0332	-0.0920	62.5882	99.9836	
    19	-0.0000	-0.0000	 0.0000	 0.0000	 0.0444	-0.0365	 0.0079	 0.0809	-0.0368	-0.0335	-0.0701	-0.0033	62.7552	99.9844	
    20	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	-0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	62.7218	99.9818	
    21	 0.0341	 0.0499	 0.0841	-0.0158	 0.0436	 0.0644	 0.1079	-0.0208	 0.0276	 0.0840	 0.1118	-0.0564	62.5611	99.9823	
    22	 0.2496	 0.1346	 0.3843	 0.1150	 0.4000	 0.1406	 0.5405	 0.2594	 0.2643	 0.1487	 0.4131	 0.1156	62.7366	99.9880	
    23	 0.3313	 0.0654	 0.3967	 0.2659	 0.3855	 0.0051	 0.3906	 0.3804	 0.1331	-0.0205	 0.1127	 0.1536	62.6999	99.9886	
    24	 0.3887	-0.0184	 0.3704	 0.4072	 0.4314	-0.1191	 0.3123	 0.5505	 0.1952	-0.1737	 0.0216	 0.3688	63.0695	99.9881	
    25	 0.5692	 0.0010	 0.5702	 0.5682	 0.6647	-0.1047	 0.5600	 0.7694	 0.4397	-0.1828	 0.2569	 0.6225	63.4134	99.9889	
    26	 0.7254	 0.0059	 0.7313	 0.7195	 0.8445	-0.0973	 0.7472	 0.9418	 0.6438	-0.1827	 0.4612	 0.8265	63.6297	99.9889	
    27	 0.8663	 0.0164	 0.8828	 0.8500	 0.9867	-0.0493	 0.9374	 1.0360	 0.8088	-0.1502	 0.6587	 0.9590	63.6787	99.9888	
    28	 0.9121	-0.0005	 0.9117	 0.9127	 1.0380	-0.0816	 0.9564	 1.1196	 0.8299	-0.1935	 0.6365	 1.0234	63.7581	99.9894	
    29	 0.8798	-0.0199	 0.8600	 0.8997	 1.0296	-0.1120	 0.9176	 1.1416	 0.7829	-0.1995	 0.5835	 0.9824	63.6737	99.9903	
    30	 0.8556	-0.0344	 0.8213	 0.8900	 1.0349	-0.1341	 0.9008	 1.1691	 0.7697	-0.2300	 0.5398	 0.9996	63.7557	99.9909	
    31	 0.8385	-0.0594	 0.7792	 0.8979	 1.0074	-0.1508	 0.8566	 1.1582	 0.7456	-0.2445	 0.5012	 0.9901	63.7135	99.9908	
    32	 0.8457	-0.0698	 0.7759	 0.9155	 1.0135	-0.1597	 0.8538	 1.1733	 0.7390	-0.2598	 0.4793	 0.9987	63.7118	99.9910	
    33	 0.8062	-0.0787	 0.7275	 0.8849	 0.9722	-0.1847	 0.7875	 1.1569	 0.7257	-0.2902	 0.4356	 1.0160	63.8362	99.9905	
    34	 0.8133	-0.0892	 0.7242	 0.9026	 0.9914	-0.1985	 0.7929	 1.1898	 0.7547	-0.2952	 0.4596	 1.0498	63.8800	99.9904	
    35	 0.8457	-0.0698	 0.7759	 0.9155	 1.0319	-0.1866	 0.8453	 1.2185	 0.8082	-0.2739	 0.5344	 1.0822	63.9244	99.9903	
    36	 0.9013	-0.0513	 0.8501	 0.9527	 1.0931	-0.1623	 0.9308	 1.2554	 0.8733	-0.2570	 0.6163	 1.1303	63.9679	99.9903	
    37	 0.9319	-0.0626	 0.8694	 0.9944	 1.1260	-0.1677	 0.9582	 1.2937	 0.8962	-0.2656	 0.6306	 1.1618	63.9679	99.9906	
    38	 0.9624	-0.0738	 0.8886	 1.0362	 1.1657	-0.1690	 0.9967	 1.3348	 0.9191	-0.2742	 0.6449	 1.1933	63.9679	99.9910	
    39	 0.9615	-0.0892	 0.8724	 1.0507	 1.1780	-0.1869	 0.9911	 1.3649	 0.9516	-0.3219	 0.6298	 1.2734	64.1753	99.9909	
    40	 0.9507	-0.1399	 0.8109	 1.0906	 1.1482	-0.2430	 0.9052	 1.3912	 0.9076	-0.3821	 0.5256	 1.2898	64.1713	99.9909	
    41	 0.9166	-0.1899	 0.7268	 1.1065	 1.1115	-0.3032	 0.8083	 1.4147	 0.8523	-0.4381	 0.4143	 1.2903	64.1679	99.9911	
    42	 0.8932	-0.1891	 0.7042	 1.0823	 1.1115	-0.3032	 0.8083	 1.4147	 0.8763	-0.4235	 0.4529	 1.2998	64.2133	99.9910	
    43	 1.0099	-0.1931	 0.8170	 1.2030	 1.2255	-0.2849	 0.9405	 1.5104	 1.0227	-0.4135	 0.6093	 1.4362	64.3011	99.9905	
    44	 1.0638	-0.2051	 0.8588	 1.2690	 1.2851	-0.2868	 0.9983	 1.5720	 1.0751	-0.4154	 0.6597	 1.4905	64.3024	99.9907	
    45	 1.0629	-0.2205	 0.8426	 1.2834	 1.3104	-0.3096	 1.0008	 1.6199	 1.0913	-0.4393	 0.6522	 1.5306	64.3855	99.9911	
    46	 1.0692	-0.2462	 0.8230	 1.3155	 1.3219	-0.3406	 0.9812	 1.6625	 1.0901	-0.4624	 0.6278	 1.5526	64.3849	99.9914	
    47	 1.0755	-0.2720	 0.8035	 1.3475	 1.2943	-0.3573	 0.9371	 1.6516	 1.0715	-0.4850	 0.5866	 1.5564	64.3418	99.9909	
    48	 1.0431	-0.2914	 0.7519	 1.3345	 1.2255	-0.3989	 0.8266	 1.6244	 0.9872	-0.5360	 0.4513	 1.5232	64.3357	99.9907	
    49	 1.0288	-0.2704	 0.7585	 1.2992	 1.2179	-0.4162	 0.8017	 1.6340	 0.9625	-0.5621	 0.4005	 1.5246	64.4571	99.9909	
    50	 1.1177	-0.2172	 0.9006	 1.3349	 1.3379	-0.4069	 0.9310	 1.7448	 1.0811	-0.5240	 0.5572	 1.6051	64.5849	99.9911	
    51	 1.1410	-0.2180	 0.9231	 1.3591	 1.2821	-0.3393	 0.9427	 1.6214	 1.1004	-0.3777	 0.7227	 1.4781	64.0548	99.9884	
    52	 1.3062	-0.0600	 1.2463	 1.3663	 1.5665	-0.1293	 1.4372	 1.6958	 1.4050	-0.1260	 1.2791	 1.5310	63.9954	99.9900	
    53	 1.7058	 0.2382	 1.9442	 1.4676	 2.0338	 0.1406	 2.1744	 1.8931	 1.7343	 0.1519	 1.8863	 1.5825	63.8789	99.9930	
    54	 1.9689	 0.6025	 2.5716	 1.3664	 2.2088	 0.5252	 2.7340	 1.6836	 1.9859	 0.5061	 2.4921	 1.4798	63.7264	99.9911	
    55	 2.2733	 0.8734	 3.1468	 1.4000	 2.2553	 0.7560	 3.0114	 1.4993	 2.0774	 0.5839	 2.6615	 1.4935	63.8691	99.9873	
    56	 2.1297	 0.8169	 2.9467	 1.3128	 2.2156	 0.6433	 2.8589	 1.5723	 1.8691	 0.5027	 2.3719	 1.3663	63.7756	99.9913	
    57	 1.8343	 0.6992	 2.5336	 1.1351	 2.0199	 0.4743	 2.4941	 1.5456	 1.6108	 0.3576	 1.9685	 1.2531	63.8921	99.9930	
    58	 1.5676	 0.5396	 2.1073	 1.0281	 1.7071	 0.2344	 1.9416	 1.4727	 1.2484	 0.0036	 1.2521	 1.2447	64.3638	99.9931	
    59	 0.9328	 0.2186	 1.1516	 0.7142	 1.0028	-0.1155	 0.8873	 1.1184	 0.6348	-0.3565	 0.2785	 0.9913	64.4740	99.9909	
    60	 0.9553	 0.3355	 1.2909	 0.6198	 1.0280	-0.0243	 1.0037	 1.0523	 0.7553	-0.2836	 0.4718	 1.0388	64.7741	99.9893	
    61	 0.9409	 0.0905	 1.0315	 0.8504	 1.0297	-0.3400	 0.6897	 1.3697	 0.5837	-0.5557	 0.0281	 1.1394	64.7192	99.9919	
    62	 0.6203	-0.3229	 0.2974	 0.9432	 0.7552	-0.7213	 0.0339	 1.4766	 0.1256	-0.9564	-0.8308	 1.0820	64.5311	99.9947	
    63	-0.0936	-0.7945	-0.8880	 0.7010	 0.1450	-1.0524	-0.9075	 1.1974	-0.3079	-1.2188	-1.5266	 0.9109	64.4144	99.9936	
    64	-0.0639	-0.8211	-0.8850	 0.7572	 0.2551	-0.9858	-0.7307	 1.2409	 0.0449	-1.1623	-1.1173	 1.2073	64.9022	99.9915	
    65	 0.0223	-0.8138	-0.7915	 0.8361	 0.4639	-0.9356	-0.4717	 1.3994	 0.3159	-1.1106	-0.7945	 1.4265	65.2048	99.9919	
    66	 0.0977	-0.8573	-0.7596	 0.9550	 0.5825	-0.9525	-0.3701	 1.5350	 0.4147	-1.1181	-0.7033	 1.5328	65.2071	99.9924	
    67	 0.0734	-0.8718	-0.7983	 0.9453	 0.5480	-0.9733	-0.4253	 1.5214	 0.4075	-1.1449	-0.7374	 1.5524	65.2900	99.9921	
    68	 0.1273	-0.8839	-0.7565	 1.0112	 0.5817	-0.9656	-0.3840	 1.5473	 0.4430	-1.1346	-0.6915	 1.5776	65.2075	99.9919	
    69	 0.1587	-0.8799	-0.7211	 1.0386	 0.5886	-0.9615	-0.3729	 1.5501	 0.4550	-1.1274	-0.6722	 1.5824	65.1657	99.9916	
    70	 0.2063	-0.8662	-0.6598	 1.0725	 0.6284	-0.9628	-0.3344	 1.5911	 0.4665	-1.1317	-0.6651	 1.5981	65.1644	99.9919	
    71	 0.2305	-0.8517	-0.6210	 1.0822	 0.6421	-0.9544	-0.3123	 1.5966	 0.5020	-1.1214	-0.6193	 1.6234	65.2065	99.9916	
    72	 0.2700	-0.8428	-0.5726	 1.1128	 0.6758	-0.9467	-0.2710	 1.6225	 0.5309	-1.1263	-0.5953	 1.6572	65.2476	99.9916	
    73	 0.3895	-0.8008	-0.4113	 1.1903	 0.7905	-0.9154	-0.1249	 1.7059	 0.6676	-1.0773	-0.4096	 1.7449	65.2912	99.9913	
    74	 0.6220	-0.6912	-0.0691	 1.3132	 1.0153	-0.8174	 0.1979	 1.8327	 0.9109	-0.9974	-0.0864	 1.9082	65.4586	99.9911	
    75	 0.8546	-0.5815	 0.2731	 1.4361	 1.2134	-0.7229	 0.4905	 1.9363	 1.1541	-0.9175	 0.2368	 2.0716	65.6252	99.9901	
    76	 1.0287	-0.5363	 0.4925	 1.5651	 1.3159	-0.6736	 0.6423	 1.9895	 1.2294	-0.8158	 0.4137	 2.0452	65.2545	99.9895	
    77	 1.0781	-0.4920	 0.5862	 1.5701	 1.4076	-0.5801	 0.8275	 1.9877	 1.3016	-0.6599	 0.6418	 1.9615	64.8900	99.9903	
    78	 1.4265	-0.1357	 1.2909	 1.5623	 1.7608	-0.2145	 1.5464	 1.9753	 1.6254	-0.2619	 1.3636	 1.8874	64.5718	99.9909	
    79	 1.9312	 0.3584	 2.2897	 1.5728	 2.2793	 0.1371	 2.4164	 2.1422	 2.0361	 0.0090	 2.0452	 2.0270	65.0183	99.9926	
    80	 1.9779	 0.3568	 2.3347	 1.6211	 2.1539	 0.1499	 2.3038	 2.0039	 1.8723	-0.0003	 1.8721	 1.8726	64.5980	99.9913	
    81	 1.8306	 0.3720	 2.2028	 1.4586	 2.1669	 0.1451	 2.3120	 2.0217	 1.8843	 0.0070	 1.8914	 1.8773	64.8917	99.9930	
    82	 1.8513	 0.1924	 2.0437	 1.6589	 1.9758	-0.1731	 1.8026	 2.1489	 1.5009	-0.5281	 0.9729	 2.0289	65.4451	99.9928	
    83	 0.8160	-0.4421	 0.3739	 1.2581	 0.9060	-0.8709	 0.0351	 1.7768	 0.4171	-1.1840	-0.7668	 1.6011	65.3888	99.9928	
    84	 0.4928	-0.3697	 0.1232	 0.8625	 0.7613	-0.7303	 0.0310	 1.4917	 0.4737	-0.9926	-0.5189	 1.4663	65.5700	99.9920	
    85	 1.0082	-0.0907	 0.9175	 1.0989	 1.2325	-0.6227	 0.6098	 1.8552	 0.7838	-0.8611	-0.0772	 1.6448	65.6936	99.9933	
    86	 0.7567	-0.5219	 0.2349	 1.2786	 0.9351	-0.9419	-0.0069	 1.8770	 0.4334	-1.2078	-0.7743	 1.6412	65.3917	99.9938	
    87	 0.1282	-1.0016	-0.8733	 1.1297	 0.3110	-1.2814	-0.9703	 1.5924	-0.1814	-1.4789	-1.6601	 1.2975	64.7054	99.9936	
    88	-0.0101	-1.0991	-1.1091	 1.0890	 0.3072	-1.2330	-0.9258	 1.5402	 0.2341	-1.4518	-1.2176	 1.6860	65.5332	99.9896	
    89	 0.1425	-1.0225	-0.8799	 1.1650	 0.5320	-1.1350	-0.6030	 1.6671	 0.5232	-1.3891	-0.8658	 1.9123	65.9112	99.9895	
    90	 0.1865	-1.0700	-0.8834	 1.2566	 0.7302	-1.1545	-0.4244	 1.8847	 0.6936	-1.3645	-0.6708	 2.0581	65.9956	99.9914	
    91	 0.2018	-1.0757	-0.8738	 1.2775	 0.7041	-1.1449	-0.4408	 1.8491	 0.6587	-1.3632	-0.7044	 2.0219	65.8715	99.9910	
    92	 0.2179	-1.0660	-0.8480	 1.2839	 0.7508	-1.1421	-0.3913	 1.8929	 0.7291	-1.3542	-0.6250	 2.0834	65.9958	99.9911	
    93	 0.2431	-1.0362	-0.7930	 1.2793	 0.7187	-1.1235	-0.4048	 1.8422	 0.6888	-1.3450	-0.6561	 2.0338	65.9127	99.9907	
    94	 0.2978	-1.0329	-0.7350	 1.3308	 0.7722	-1.1164	-0.3442	 1.8887	 0.7418	-1.3354	-0.5935	 2.0771	65.9129	99.9907	
    95	 0.3777	-0.9999	-0.6220	 1.3776	 0.8533	-1.0927	-0.2395	 1.9460	 0.8309	-1.3039	-0.4729	 2.1348	65.9544	99.9907	
    96	 0.5286	-0.9539	-0.4252	 1.4825	 1.0009	-1.0668	-0.0659	 2.0677	 0.9495	-1.2657	-0.3161	 2.2153	65.9545	99.9911	
    97	 0.6660	-0.8717	-0.2056	 1.5376	 1.1034	-1.0175	 0.0859	 2.1209	 1.0416	-1.1763	-0.1346	 2.2180	65.8311	99.9910	
    98	 0.9425	-0.6766	 0.2661	 1.6191	 1.4153	-0.7908	 0.6246	 2.2061	 1.4444	-0.9438	 0.5007	 2.3882	65.9570	99.9902	
    99	 1.2182	-0.6297	 0.5885	 1.8479	 1.6914	-0.7251	 0.9663	 2.4166	 1.5967	-0.8179	 0.7789	 2.4147	65.5087	99.9920	
   100	 1.6186	-0.3162	 1.3026	 1.9348	 2.1273	-0.4235	 1.7038	 2.5508	 1.9869	-0.4920	 1.4949	 2.4789	65.3911	99.9930	
   101	 2.1852	 0.1707	 2.3560	 2.0145	 2.6549	-0.0284	 2.6265	 2.6833	 2.4938	-0.1628	 2.3311	 2.6566	65.7163	99.9929	
   102	 2.2607	 0.2602	 2.5209	 2.0005	 2.5784	 0.0267	 2.6051	 2.5517	 2.3143	-0.1367	 2.1777	 2.4511	65.3441	99.9927	
   103	 2.1475	 0.3254	 2.4731	 1.8222	 2.5784	 0.0267	 2.6051	 2.5517	 2.1843	-0.1706	 2.0138	 2.3549	65.5457	99.9948	
   104	 2.1529	 0.1514	 2.3044	 2.0016	 2.4003	-0.2964	 2.1039	 2.6967	 1.8478	-0.6996	 1.1483	 2.5475	66.2434	99.9940	
   105	 1.2002	-0.4041	 0.7962	 1.6044	 1.4337	-0.8177	 0.6160	 2.2514	 1.0169	-1.0903	-0.0733	 2.1072	65.8641	99.9934	
   106	 1.3215	-0.0657	 1.2559	 1.3872	 1.6829	-0.4136	 1.2693	 2.0965	 1.4293	-0.6724	 0.7570	 2.1017	65.9944	99.9927	
   107	 2.0174	 0.2327	 2.2502	 1.7847	 2.2267	-0.3127	 1.9140	 2.5394	 1.7315	-0.5792	 1.1524	 2.3108	65.9917	99.9941	
   108	 1.5351	-0.2775	 1.2577	 1.8127	 1.6540	-0.6845	 0.9695	 2.3384	 1.1620	-0.9913	 0.1708	 2.1533	65.6088	99.9932	
   109	 0.7746	-0.7475	 0.0272	 1.5222	 0.9183	-1.1168	-0.1985	 2.0351	 0.2793	-1.3684	-1.0890	 1.6477	64.9577	99.9947	
   110	 0.3436	-0.9169	-0.5731	 1.2605	 0.7508	-1.1421	-0.3913	 1.8929	 0.5713	-1.3600	-0.7885	 1.9313	65.8679	99.9921	
   111	 0.6408	-0.9015	-0.2606	 1.5423	 0.9948	-1.0578	-0.0631	 2.0526	 0.9760	-1.3170	-0.3409	 2.2931	66.1603	99.9894	
   112	 0.4729	-1.1054	-0.6324	 1.5783	 1.0935	-1.1881	-0.0947	 2.2816	 1.0598	-1.3898	-0.3299	 2.4495	66.3246	99.9920	
   113	 0.3544	-1.1320	-0.7775	 1.4864	 0.9321	-1.2224	-0.2903	 2.1545	 0.8424	-1.4204	-0.5779	 2.2627	66.0781	99.9922	
   114	 0.3167	-1.1103	-0.7935	 1.4270	 0.9810	-1.1801	-0.1991	 2.1612	 0.9568	-1.3511	-0.3943	 2.3079	66.2017	99.9924	
   115	 0.4190	-1.0933	-0.6742	 1.5124	 1.0545	-1.1737	-0.1193	 2.2282	 0.9796	-1.3597	-0.3800	 2.3394	66.1607	99.9925	
   116	 0.3732	-1.0764	-0.7031	 1.4497	 0.9826	-1.1539	-0.1713	 2.1365	 0.9176	-1.3187	-0.4010	 2.2363	65.9966	99.9924	
   117	 0.4298	-1.0426	-0.6126	 1.4724	 1.0307	-1.1248	-0.0940	 2.1555	 0.9718	-1.2859	-0.3140	 2.2577	65.9967	99.9924	
   118	 0.4945	-1.0039	-0.5093	 1.4983	 1.0843	-1.1177	-0.0334	 2.2020	 1.0145	-1.2488	-0.2342	 2.2634	65.9557	99.9926	
   119	 0.6004	-0.9257	-0.3251	 1.5261	 1.1699	-1.0152	 0.1547	 2.1852	 1.1145	-1.1210	-0.0065	 2.2355	65.7520	99.9923	
   120	 0.8509	-0.7757	 0.0753	 1.6267	 1.4169	-0.8785	 0.5384	 2.2954	 1.3986	-0.9266	 0.4721	 2.3252	65.6732	99.9917	
   121	 1.2119	-0.6040	 0.6080	 1.8159	 1.8008	-0.6717	 1.1291	 2.4725	 1.7557	-0.7890	 0.9668	 2.5448	65.8371	99.9924	
   122	 1.5477	-0.4620	 1.0857	 2.0097	 2.1426	-0.5029	 1.6397	 2.6456	 2.0369	-0.5403	 1.4966	 2.5772	65.3954	99.9934	
   123	 2.1349	-0.0219	 2.1131	 2.1568	 2.7353	-0.1318	 2.6035	 2.8671	 2.5522	-0.1611	 2.3912	 2.7133	65.3987	99.9944	
   124	 2.7383	 0.4279	 3.1664	 2.3104	 3.1237	 0.1538	 3.2775	 2.9699	 2.8497	-0.0484	 2.8014	 2.8981	65.8768	99.9935	
   125	 2.3307	 0.3907	 2.7215	 1.9400	 2.7857	 0.0507	 2.8364	 2.7350	 2.3541	-0.2698	 2.0845	 2.6239	66.1606	99.9943	
   126	 1.7103	 0.0489	 1.7593	 1.6614	 2.1770	-0.3681	 1.8089	 2.5451	 1.6973	-0.6785	 1.0188	 2.3758	66.2848	99.9951	
   127	 1.2649	-0.2325	 1.0325	 1.4974	 1.6754	-0.6589	 1.0165	 2.3342	 1.2475	-0.9171	 0.3305	 2.1646	66.1179	99.9950	
   128	 1.7570	 0.1802	 1.9373	 1.5768	 2.1242	-0.2481	 1.8761	 2.3722	 1.7707	-0.4995	 1.2713	 2.2701	66.0773	99.9940	
   129	 2.2840	 0.2594	 2.5435	 2.0246	 2.4087	-0.2660	 2.1427	 2.6747	 1.7869	-0.5233	 1.2638	 2.3102	65.5273	99.9949	
