OxySoft export of:	C:\Users\TO3 TechSupport\Documents\Train2Adapt\T2A_04
Export date:	2022/09/15 09:31:18
Start of measurement:	2022-09-15 08:24:06.851

Datafile sample rate:	10.00	Hz
Datafile duration:	3463.300	s
Datafile total number of samples:	34633

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	6.20

Device id:	334
# Receivers:	1
# Light sources:	6
# ADC:	2

Light source wavelengths:
device	index	wavelength
1	1	849	nm
1	2	759	nm
1	3	846	nm
1	4	757	nm
1	5	848	nm
1	6	757	nm

Export sample rate:	10.00	Hz
Selected time span:	0	3463.300
Selected time span (sample numbers):	0	34633


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (T2A_04)
3	Rx1-Tx1 HHb (T2A_04)
4	Rx1-Tx1 tHb (T2A_04)
5	Rx1-Tx2 O2Hb (T2A_04)
6	Rx1-Tx2 HHb (T2A_04)
7	Rx1-Tx2 tHb (T2A_04)
8	Rx1-Tx3 O2Hb (T2A_04)
9	Rx1-Tx3 HHb (T2A_04)
10	Rx1-Tx3 tHb (T2A_04)
11	Rx1-Tx1,Tx2,Tx3 TSI% (T2A_04)
12	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (T2A_04)
13	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13
     0	123.0368	63.4737	186.5105	98.1174	53.1249	151.2423	78.6606	48.1700	126.8304	11.5652	98.7634	
     1	 0.1169	 0.1019	 0.2188	 0.0948	 0.0973	 0.1921	 0.0046	 0.1731	 0.1776	68.3590	99.9737	
     2	 0.1005	 0.0918	 0.1923	 0.0744	 0.0976	 0.1720	 0.0093	 0.1534	 0.1626	68.4423	99.9739	
     3	 0.0687	 0.0872	 0.1559	 0.0602	 0.0889	 0.1491	-0.0152	 0.1380	 0.1226	68.4852	99.9750	
     4	 0.0287	 0.0776	 0.1063	 0.0184	 0.0761	 0.0945	-0.0520	 0.1148	 0.0627	68.5291	99.9751	
     5	 0.0677	 0.0716	 0.1393	 0.0727	 0.0707	 0.1434	 0.0187	 0.1139	 0.1326	68.6086	99.9748	
     6	 0.1549	 0.0803	 0.2352	 0.1278	 0.0788	 0.2066	 0.0711	 0.1014	 0.1725	68.6535	99.9748	
     7	 0.1375	 0.0546	 0.1921	 0.0994	 0.0612	 0.1607	 0.0459	 0.0742	 0.1200	68.6554	99.9751	
     8	 0.0821	 0.0505	 0.1325	 0.0710	 0.0437	 0.1148	 0.0105	 0.0747	 0.0850	68.6544	99.9749	
     9	 0.0657	 0.0404	 0.1060	 0.0568	 0.0350	 0.0918	-0.0141	 0.0593	 0.0451	68.6563	99.9757	
    10	 0.0339	 0.0358	 0.0697	 0.0355	 0.0219	 0.0574	-0.0155	 0.0357	 0.0200	68.7817	99.9754	
    11	 0.0031	 0.0468	 0.0499	 0.0159	 0.0357	 0.0516	-0.0202	 0.0554	 0.0351	68.7787	99.9751	
