OxySoft export of:	C:\Users\TO3 TechSupport\Documents\Train2Adapt\T2A_40_2
Export date:	2022/09/17 04:36:09
Start of measurement:	2022-09-17 03:33:13.938

Datafile sample rate:	10.00	Hz
Datafile duration:	3703.800	s
Datafile total number of samples:	37038

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	5.82

Device id:	334
# Receivers:	1
# Light sources:	6
# ADC:	2

Light source wavelengths:
device	index	wavelength
1	1	849	nm
1	2	759	nm
1	3	846	nm
1	4	757	nm
1	5	848	nm
1	6	757	nm

Export sample rate:	10.00	Hz
Selected time span:	0	3703.800
Selected time span (sample numbers):	0	37038


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (T2A_40_2)
3	Rx1-Tx1 HHb (T2A_40_2)
4	Rx1-Tx1 tHb (T2A_40_2)
5	Rx1-Tx2 O2Hb (T2A_40_2)
6	Rx1-Tx2 HHb (T2A_40_2)
7	Rx1-Tx2 tHb (T2A_40_2)
8	Rx1-Tx3 O2Hb (T2A_40_2)
9	Rx1-Tx3 HHb (T2A_40_2)
10	Rx1-Tx3 tHb (T2A_40_2)
11	Rx1-Tx1,Tx2,Tx3 TSI% (T2A_40_2)
12	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (T2A_40_2)
13	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13
     0	142.9958	74.5124	217.5080	115.8480	61.6654	177.5134	94.8378	55.0254	149.8632	11.5652	98.7634	
     1	 0.4330	-0.0531	 0.3798	 0.5263	-0.0760	 0.4504	 0.5445	-0.0448	 0.4997	59.1753	99.9869	
     2	 0.4745	-0.0595	 0.4150	 0.5206	-0.0519	 0.4687	 0.5468	-0.0071	 0.5397	58.9597	99.9860	
     3	 0.6143	 0.0266	 0.6409	 0.6910	-0.0021	 0.6889	 0.7383	 0.0408	 0.7791	59.2370	99.9852	
     4	 0.6887	 0.0085	 0.6971	 0.7404	-0.0269	 0.7135	 0.7803	 0.0067	 0.7870	59.2731	99.9849	
     5	 0.6974	 0.0139	 0.7112	 0.7328	-0.0316	 0.7013	 0.7476	-0.0139	 0.7337	59.2592	99.9855	
     6	 0.6548	 0.0036	 0.6583	 0.7101	-0.0455	 0.6646	 0.7272	-0.0388	 0.6885	59.3456	99.9862	
     7	 0.6045	 0.0046	 0.6090	 0.6656	-0.0592	 0.6065	 0.6503	-0.0629	 0.5874	59.3318	99.9871	
     8	 0.4264	-0.0252	 0.4011	 0.4116	-0.0501	 0.3615	 0.3871	-0.0470	 0.3402	58.8724	99.9866	
     9	 0.2732	 0.0723	 0.3455	 0.2189	 0.0106	 0.2296	 0.2162	 0.0391	 0.2553	58.6861	99.9834	
    10	 0.1782	 0.0298	 0.2079	 0.0930	-0.0255	 0.0675	 0.1009	 0.0029	 0.1037	58.5863	99.9826	
    11	 0.0077	-0.0112	-0.0036	-0.0547	-0.0614	-0.1161	-0.0211	-0.0375	-0.0586	58.6299	99.9827	
    12	-0.0677	-0.0097	-0.0776	-0.0605	-0.0373	-0.0978	-0.0196	-0.0124	-0.0319	58.6937	99.9847	
    13	-0.0983	-0.0924	-0.1908	-0.1407	-0.1557	-0.2963	-0.1245	-0.1871	-0.3115	58.8688	99.9852	
    14	-0.3865	-0.3978	-0.7844	-0.3085	-0.3971	-0.7056	-0.2382	-0.4036	-0.6418	59.0726	99.9871	
    15	-0.4630	-0.4129	-0.8760	-0.3285	-0.3680	-0.6966	-0.2344	-0.3408	-0.5752	58.9713	99.9877	
    16	-0.4052	-0.2974	-0.7027	-0.2778	-0.2539	-0.5317	-0.1956	-0.2197	-0.4153	58.8463	99.9876	
    17	-0.1769	-0.1409	-0.3179	-0.0517	-0.1285	-0.1801	 0.0294	-0.1388	-0.1094	59.1132	99.9881	
    18	-0.2173	-0.2456	-0.4630	-0.1452	-0.2274	-0.3726	-0.0840	-0.2463	-0.3303	59.0001	99.9880	
    19	-0.2566	-0.2059	-0.4627	-0.1464	-0.1316	-0.2781	-0.0618	-0.0873	-0.1491	58.6909	99.9876	
    20	 0.0000	 0.0000	-0.0000	 0.0000	-0.0000	-0.0000	 0.0001	-0.0000	 0.0000	58.5992	99.9871	
    21	-0.2304	-0.1898	-0.4203	-0.2639	-0.1488	-0.4127	-0.2918	-0.1472	-0.4390	58.3037	99.9881	
    22	-0.4293	-0.2803	-0.7096	-0.3983	-0.2040	-0.6023	-0.4261	-0.1832	-0.6093	58.2273	99.9896	
    23	-0.5144	-0.4285	-0.9430	-0.4358	-0.3375	-0.7732	-0.3960	-0.3094	-0.7053	58.5123	99.9890	
    24	-0.3121	-0.5437	-0.8558	-0.1528	-0.4668	-0.6196	-0.0839	-0.4517	-0.5356	59.1085	99.9897	
    25	-0.0136	-0.5996	-0.6133	 0.1252	-0.5577	-0.4325	 0.1008	-0.5170	-0.4161	59.0941	99.9901	
    26	 0.0531	-0.6065	-0.5535	 0.0865	-0.5953	-0.5089	 0.0239	-0.5411	-0.5172	58.8401	99.9880	
    27	 0.0192	-0.6114	-0.5923	 0.0353	-0.5993	-0.5640	 0.0043	-0.5535	-0.5492	58.8837	99.9871	
    28	 0.0629	-0.5845	-0.5217	 0.1101	-0.5670	-0.4569	 0.1139	-0.5088	-0.3948	58.9953	99.9865	
    29	 0.1995	-0.5483	-0.3489	 0.2209	-0.5401	-0.3193	 0.2162	-0.4807	-0.2645	58.9953	99.9859	
    30	 0.2520	-0.5161	-0.2642	 0.2729	-0.5219	-0.2489	 0.2801	-0.4648	-0.1847	59.0870	99.9853	
    31	 0.3317	-0.4510	-0.1194	 0.3780	-0.4709	-0.0930	 0.4035	-0.3993	 0.0042	59.1927	99.9845	
    32	 0.5054	-0.3600	 0.1453	 0.5275	-0.4064	 0.1211	 0.5574	-0.3510	 0.2064	59.3249	99.9836	
    33	 0.6780	-0.2857	 0.3922	 0.6686	-0.3609	 0.3077	 0.6793	-0.3106	 0.3687	59.3636	99.9827	
    34	 0.7818	-0.2378	 0.5439	 0.7660	-0.3147	 0.4514	 0.8193	-0.2831	 0.5363	59.5503	99.9819	
    35	 0.9709	-0.1694	 0.8014	 0.9801	-0.2656	 0.7145	 0.9740	-0.2222	 0.7518	59.5547	99.9832	
    36	 1.0474	-0.1542	 0.8931	 1.0388	-0.2570	 0.7818	 1.0298	-0.2355	 0.7943	59.6367	99.9835	
    37	 1.0135	-0.1591	 0.8543	 1.0095	-0.2613	 0.7481	 1.0044	-0.2394	 0.7650	59.6367	99.9835	
    38	 1.0124	-0.1757	 0.8366	 0.9943	-0.2706	 0.7237	 0.9848	-0.2517	 0.7331	59.5891	99.9836	
    39	 0.9960	-0.1699	 0.8261	 0.9943	-0.2706	 0.7237	 0.9848	-0.2517	 0.7331	59.6345	99.9838	
    40	 1.0124	-0.1757	 0.8366	 1.0086	-0.2757	 0.7329	 1.0036	-0.2519	 0.7517	59.6367	99.9835	
    41	 1.0212	-0.1704	 0.8507	 1.0161	-0.2710	 0.7451	 1.0225	-0.2522	 0.7703	59.6822	99.9833	
